created_at,handle,mined_at,retweet_count,text,tweet_id,subjectivity,polarity,sentiment
Tue Nov 14 23:15:18 +0000 2017,CNN,2017-11-14 18:56:52.277415,1053,"JUST IN: Australia has said ""yes"" to legalizing same-sex marriage after a controversial 2-month-long national posta… https://t.co/9o7KOlk8Vi",930574892809961472,0.95,0.55,positive
Tue Nov 14 23:09:55 +0000 2017,CNN,2017-11-14 18:56:52.277417,265,"For the first time ever, Barbie will wear a hijab.

Mattel says the latest doll in its ""Shero"" collection will be m… https://t.co/hLujXk5yBY",930573540767789056,0.6166666666666667,0.375,positive
Tue Nov 14 22:56:18 +0000 2017,CNN,2017-11-14 18:56:52.277419,151,"Wells Fargo uncovers another 450 service members who had their vehicles illegally repossessed by the bank, bringing… https://t.co/CqdwljrgDU",930570111970357248,0.5,-0.5,negative
Tue Nov 14 22:47:47 +0000 2017,CNN,2017-11-14 18:56:52.277421,60,RT @CNNSitRoom: .@JeffreyToobin: “You know what happens to people who lose health insurance? They die” https://t.co/gX4azNcJhN https://t.co…,930567970639794178,0.0,0.0,neutral
Tue Nov 14 22:45:10 +0000 2017,CNN,2017-11-14 18:56:52.277423,114,Speaker Paul Ryan announced that there will be a new mandatory anti-harassment and discrimination training for all… https://t.co/fBwBLG32vf,930567311815258117,0.45454545454545453,0.13636363636363635,positive
Tue Nov 14 22:33:36 +0000 2017,CNN,2017-11-14 18:56:52.277425,100,"3 potential tax changes in play that could impact homeowners:

• Capping the mortgage interest deduction
• Eliminat… https://t.co/MPqnyDKApr",930564401052176384,1.0,0.0,neutral
Tue Nov 14 22:32:00 +0000 2017,CNN,2017-11-14 18:56:52.277427,66,RT @CNNSitRoom: Rep. Cicilline on #SessionsHearing: We learned the independence of this Attorney General has been undermined; confidence th…,930563996150829056,0.5,0.05000000000000002,positive
Tue Nov 14 22:21:00 +0000 2017,CNN,2017-11-14 18:56:52.277431,137,People in Iran and Iraq are recovering after a 7.3-magnitude earthquake -- the deadliest quake in the world this ye… https://t.co/KCNsTAQxjJ,930561229680148480,0.0,0.0,neutral
Tue Nov 14 22:09:13 +0000 2017,CNN,2017-11-14 18:56:52.277433,113,The FDA has approved a pill that includes a built-in digital tracking device that you swallow… https://t.co/sGO57b1AAn,930558261559951360,0.0,0.0,neutral
Tue Nov 14 22:06:23 +0000 2017,CNN,2017-11-14 18:56:52.277435,107,"Rep. Speier testified that 2 current members of Congress have ""engaged in sexual harassment"" https://t.co/JaK9Mj6GOP https://t.co/yXz9ozTZQA",930557550788931584,0.6166666666666667,0.25,positive
Tue Nov 14 21:50:50 +0000 2017,CNN,2017-11-14 18:56:52.277437,172,"The #freepress is critical to everyone's freedom, @camanpour writes for @CNNOpinion https://t.co/8KPGBiJDYF https://t.co/SLGWQFMtLj",930553635708260352,0.8,0.0,neutral
Tue Nov 14 21:43:30 +0000 2017,CNN,2017-11-14 18:56:52.277439,223,RT @TheLeadCNN: Senator Chris Murphy says he is concerned that President Trump is too “unstable” to be trusted with nuclear weapons https:/…,930551789270773761,0.0,0.0,neutral
Tue Nov 14 21:39:29 +0000 2017,CNN,2017-11-14 18:56:52.277441,38,J.J. Abrams gave Jimmy Kimmel an epic birthday gift: a superhero comic book the host illustrated and wrote as a chi… https://t.co/TFfv4Ggvnv,930550780154777600,0.45,0.175,positive
Tue Nov 14 21:32:20 +0000 2017,CNN,2017-11-14 18:56:52.277443,187,"Police fatally shot the Northern California attacker after reports of at least seven shooting scenes, including an… https://t.co/t1SdYb3csW",930548982581026816,0.4,-0.3,negative
Tue Nov 14 21:27:40 +0000 2017,CNN,2017-11-14 18:56:52.277444,37,"""There's no question that there's a deep concern here"": Sen. Mitch McConnell says he has spoken with President Trum… https://t.co/croWyClxfI",930547806196125697,0.4,0.0,neutral
Tue Nov 14 21:15:38 +0000 2017,CNN,2017-11-14 18:56:52.277446,106,Super Mario could be making his leap to the big screen in an animated movie https://t.co/gjdOftww3X https://t.co/S8FAofdYOz,930544778550435842,0.3833333333333333,0.16666666666666666,positive
Tue Nov 14 21:11:56 +0000 2017,CNN,2017-11-14 18:56:52.277448,79,"RT @TheLeadCNN: Sessions testified that he now remembers a meeting with Trump campaign aide George Papadopoulos, but denied having a clear…",930543846160830466,0.0,0.0,neutral
Tue Nov 14 21:04:05 +0000 2017,CNN,2017-11-14 18:56:52.277450,195,"Sorry, Taylor Swift can't come to the phone right now. Why? Because she's busy selling over a million copies of her… https://t.co/Shpsqrv76B",930541872761724928,0.6119047619047618,-0.0380952380952381,negative
Tue Nov 14 20:50:08 +0000 2017,CNN,2017-11-14 18:56:52.277451,473,"At least 5 people are dead -- including the gunman -- after a shooting in Northern California's Tehama County, auth… https://t.co/UM5Lbq2V5e",930538360770310146,0.4,-0.25,negative
Tue Nov 14 20:46:32 +0000 2017,CNN,2017-11-14 18:56:52.277453,231,"Russia accused the US of supporting ISIS, and offered images as proof. The only problem? The images weren't what th… https://t.co/wHTPpYqJgb",930537453987008512,0.625,0.125,positive
Tue Nov 14 20:34:20 +0000 2017,CNN,2017-11-14 18:56:52.277457,120,Republican senators will include a repeal of Obamacare's individual mandate in the revised version of the chamber's… https://t.co/FonJdvJemp,930534385769680896,0.4,0.0,neutral
Tue Nov 14 20:33:58 +0000 2017,CNN,2017-11-14 18:56:52.277458,48,"Hurricane-struck Americans spent nearly $300 million at Home Depot, the company says, but store closures and other… https://t.co/1t7OJm7lAR",930534293067137024,0.25,0.0,neutral
Tue Nov 14 20:20:13 +0000 2017,CNN,2017-11-14 18:56:52.277460,238,"These rescuers saved six beached sperm whales off the coast of Aceh, Indonesia https://t.co/GE7y62nbTI https://t.co/ahB1YHJN4O",930530831474544641,0.0,0.0,neutral
Tue Nov 14 20:10:12 +0000 2017,CNN,2017-11-14 18:56:52.277462,29,5 ways the Roy Moore saga could end | Analysis by @GregJKrieg https://t.co/2PPIIQB5Si https://t.co/3od852lbd9,930528313386373121,0.0,0.0,neutral
Tue Nov 14 20:01:44 +0000 2017,CNN,2017-11-14 18:56:52.277464,487,"For the first time ever, Barbie will wear a hijab.

Mattel says the latest doll in its ""Shero"" collection will be m… https://t.co/CwifftfCT0",930526181061021705,0.6166666666666667,0.375,positive
Tue Nov 14 19:50:03 +0000 2017,CNN,2017-11-14 18:56:52.277466,273,Iran's Olympic weightlifting champion Kianoush Rostami has put his gold medal up for auction to raise money for the… https://t.co/VaUjYIQzKy,930523242237956102,0.0,0.0,neutral
Tue Nov 14 19:40:12 +0000 2017,CNN,2017-11-14 18:56:52.277468,604,President Trump says something that isn't true 5.5 times a day. Every day. | Analysis by @CillizzaCNN… https://t.co/844rcq4VwR,930520761131061253,0.65,0.35,positive
Tue Nov 14 19:35:22 +0000 2017,CNN,2017-11-14 18:56:52.277469,148,"Rep. Ted Lieu: ""Did Donald Trump ever ask you to pledge an oath of loyalty to him?""

AG Jeff Sessions: ""No"" https://t.co/ke69IiiHT5",930519546217168896,0.0,0.0,neutral
Tue Nov 14 19:30:23 +0000 2017,CNN,2017-11-14 18:56:52.277471,45,House Republicans are forging ahead with plans to vote on their tax bill Thursday just weeks after the legislation… https://t.co/rb2skKjcpF,930518293030625280,0.0,0.0,neutral
Tue Nov 14 19:20:07 +0000 2017,CNN,2017-11-14 18:56:52.277472,89,The huge contradiction at the heart of Jeff Sessions' Russia explanation | Analysis by @CillizzaCNN… https://t.co/x5p9CqknGn,930515708647264256,0.9,0.4000000000000001,positive
Tue Nov 14 19:10:04 +0000 2017,CNN,2017-11-14 18:56:52.277474,127,"Heart failure linked to use of meth is on the rise among US veterans, a study finds https://t.co/p0eFlpvni8 https://t.co/csT1TmVZ17",930513178693373952,0.3,-0.3166666666666667,negative
Tue Nov 14 19:00:18 +0000 2017,CNN,2017-11-14 18:56:52.277476,45,Judge instructs deadlocked jurors to continue deliberating in the corruption case against Sen. Bob Menendez… https://t.co/dDxPfAc1NT,930510718859907072,0.0,0.0,neutral
Tue Nov 14 18:50:11 +0000 2017,CNN,2017-11-14 18:56:52.277478,150,Congressional lawmakers raised concerns about President Trump's ability to use nuclear weapons during a hearing on… https://t.co/lTsfjSXi59,930508174083444739,0.0,0.0,neutral
Tue Nov 14 18:42:19 +0000 2017,CNN,2017-11-14 18:56:52.277481,106,"Hurricane-affected Americans spent nearly $300 million at Home Depot this season, lifting the company's overall sal… https://t.co/9d2EOlmMcb",930506195248566274,0.16666666666666666,0.0,neutral
Tue Nov 14 18:37:24 +0000 2017,CNN,2017-11-14 18:56:52.277483,92,"RT @CNNPolitics: Attorney General Jeff Sessions: “Um, I’m not a fan of WikiLeaks” https://t.co/H1BJfz0Eew",930504956427325440,0.5,0.05000000000000002,positive
Tue Nov 14 18:25:45 +0000 2017,CNN,2017-11-14 18:56:52.277485,458,"Rep. David Cicilline: “Did anybody from the campaign ever communicate with you about Mr. Papadopoulos?”

AG Jeff Se… https://t.co/1T1OTUCaeQ",930502027360260101,0.0,0.0,neutral
Tue Nov 14 18:15:39 +0000 2017,CNN,2017-11-14 18:56:52.277487,73,Senate Majority Leader McConnell says he believes the allegations against Roy Moore and thinks the Senate candidate… https://t.co/cJQ5bIq8se,930499484710330368,0.0,0.0,neutral
Tue Nov 14 18:12:06 +0000 2017,CNN,2017-11-14 18:56:52.277489,146,"Congresswoman: Do you believe the women accusing Roy Moore?

Sessions: “I have no reason to doubt these young women… https://t.co/c1QJ2bJSv0",930498590656512000,0.4,0.1,positive
Tue Nov 14 17:57:03 +0000 2017,CNN,2017-11-14 18:56:52.277490,82,"3 UCLA basketball players leave China after shoplifting allegations ""resolved"" https://t.co/j1LZsCX0dl https://t.co/I1qfQk3n1z",930494802969464832,0.0,0.0,neutral
Tue Nov 14 17:47:28 +0000 2017,CNN,2017-11-14 18:56:52.277492,145,"Ancient pottery jars have led scientists to discover the earliest evidence of winemaking, tracing back 8,000 years… https://t.co/yXBbezrov6",930492390065999872,0.0,0.0,neutral
Tue Nov 14 17:34:07 +0000 2017,CNN,2017-11-14 18:56:52.277494,98,"The Justice Department is conducting 27 investigations into classified leaks of information, a threefold increase f… https://t.co/6VRvASmoeG",930489032303435776,0.0,0.0,neutral
Tue Nov 14 17:24:06 +0000 2017,CNN,2017-11-14 18:56:52.277496,89,"The supplement kratom, often used to treat pain, anxiety and depression, has ""deadly risks"" and might even expand t… https://t.co/Io9HWaQcoJ",930486510486544390,0.4,-0.2,negative
Tue Nov 14 17:14:05 +0000 2017,CNN,2017-11-14 18:56:52.277498,85,A networking event in Georgia is offering an interesting twist: a chance to meet a black person… https://t.co/4ABMzEbWlY,930483990984785921,0.4666666666666667,0.16666666666666669,positive
Tue Nov 14 17:04:04 +0000 2017,CNN,2017-11-14 18:56:52.277499,83,'Nothing about it felt right': More than 50 people describe sexual harassment on Capitol Hill… https://t.co/b5AdS4OQiV,930481470753435648,0.623015873015873,0.42857142857142855,positive
Tue Nov 14 16:54:07 +0000 2017,CNN,2017-11-14 18:56:52.277503,270,"These rescuers saved six beached sperm whales off the coast of Aceh, Indonesia https://t.co/lAF5NAW850 https://t.co/gxRLztRobk",930478967324397570,0.0,0.0,neutral
Tue Nov 14 16:44:07 +0000 2017,CNN,2017-11-14 18:56:52.277505,158,"House Speaker Paul Ryan says Roy Moore ""should step aside"" and that the ""allegations are credible""… https://t.co/dg8dUfLAuH",930476450553257984,0.7,0.4,positive
Tue Nov 14 16:34:08 +0000 2017,CNN,2017-11-14 18:56:52.277509,905,President Trump says something that isn't true 5.5 times a day. Every day. | Analysis by @CillizzaCNN… https://t.co/iRJrc58DbH,930473934545354755,0.65,0.35,positive
Tue Nov 14 16:24:29 +0000 2017,CNN,2017-11-14 18:56:52.277511,120,Attorney General Jeff Sessions on Roy Moore’s accusers: “I have no reason to doubt these young women.”… https://t.co/GVICIDhzwP,930471510082510848,0.45,0.07500000000000001,positive
Tue Nov 14 16:13:56 +0000 2017,CNN,2017-11-14 18:56:52.277512,165,Attorney General Jeff Sessions: It “would be wrong” for the leader of a functioning democracy to order retaliation… https://t.co/gY90WQ4cDb,930468851388739586,0.7,-0.22499999999999998,negative
Tue Nov 14 16:03:39 +0000 2017,CNN,2017-11-14 18:56:52.277514,92,"The Trump administration is taking quiet steps on seizing border land, according to a report https://t.co/a9KL4DgVef https://t.co/jjwuH6xtkf",930466264488857602,0.3333333333333333,0.0,neutral
Tue Nov 14 15:52:44 +0000 2017,CNN,2017-11-14 18:56:52.277516,156,"Attorney General Jeff Sessions: ""I will not accept, and reject accusations, that I have ever lied. That is a lie.”… https://t.co/OMUonX9HFW",930463518192816129,0.5,0.05000000000000002,positive
Tue Nov 14 15:44:07 +0000 2017,CNN,2017-11-14 18:56:52.277517,1142,"For the first time ever, Barbie will wear a hijab.

Mattel says the latest doll in its ""Shero"" collection will be m… https://t.co/TEHXEkxwNb",930461350387732482,0.6166666666666667,0.375,positive
Tue Nov 14 15:42:11 +0000 2017,CNN,2017-11-14 18:56:52.277519,127,"Attorney General Jeff Sessions on a meeting with George Papadopoulos and Carter Page: ”Frankly, I had no recollecti… https://t.co/ZQWZG2Hxwe",930460862292398080,0.5,0.05000000000000002,positive
Tue Nov 14 15:37:49 +0000 2017,CNN,2017-11-14 18:56:52.277521,64,Attorney General Jeff Sessions addresses “false charges” about his previous testimony: “My answers have not changed… https://t.co/Kcb53SOrIV,930459763799937025,0.4222222222222223,-0.17222222222222225,negative
Tue Nov 14 15:33:09 +0000 2017,CNN,2017-11-14 18:56:52.277522,117,Jeff Sessions sure looks like he is taking orders from Trump on a Clinton special counsel | Analysis by… https://t.co/vqqheIP4wi,930458589906526214,0.7301587301587301,0.4285714285714286,positive
Tue Nov 14 15:23:05 +0000 2017,CNN,2017-11-14 18:56:52.277524,71,"A leading news website in Alabama is calling on the GOP to pull its support of Roy Moore, the Alabama Republican Se… https://t.co/nHudElDMhV",930456054223310848,0.0,0.0,neutral
Tue Nov 14 15:17:07 +0000 2017,CNN,2017-11-14 18:56:52.277526,93,"Shooting death this morning linked to string of unsolved killings in Tampa neighborhood within the past month, poli… https://t.co/Iqp18EApVY",930454552792444928,0.25,-0.25,negative
Tue Nov 14 15:09:12 +0000 2017,CNN,2017-11-14 18:56:52.277527,101,Attorney General Jeff Sessions is testifying at a House Judiciary Committee hearing. Watch now on CNN:… https://t.co/2v5S8WdBhS,930452564432343042,0.5,0.05000000000000002,positive
Tue Nov 14 15:01:21 +0000 2017,CNN,2017-11-14 18:56:52.277529,1362,Don’t let anything distract you from the facts. #FactsFirst https://t.co/MZkrJhBTdc,930450586050449408,0.0,0.0,neutral
Tue Nov 14 14:56:10 +0000 2017,CNN,2017-11-14 18:56:52.277533,373,"After a mass shooting, the First Baptist Church of Sutherland Springs, Texas, has been turned into a memorial, comp… https://t.co/PTWW5A3iS7",930449281944899584,0.3333333333333333,0.25,positive
Tue Nov 14 14:48:19 +0000 2017,CNN,2017-11-14 18:56:52.277535,47,"RT @CNNnewsroom: Rep. David Cicilline: ""I think this is a make-believe investigation about Uranium One... Once again this is an effort to d…",930447308336050176,0.0,0.0,neutral
Tue Nov 14 14:46:09 +0000 2017,CNN,2017-11-14 18:56:52.277537,110,"It’s a big day on Capitol Hill. Here’s what we’re following:

- Jeff Sessions testifies at House hearing
- Nuclear… https://t.co/eQKfzoK7qT",930446762787131392,0.1,0.0,neutral
Tue Nov 14 14:38:06 +0000 2017,CNN,2017-11-14 18:56:52.277538,78,Alabama Secretary of State John Merrill says he would still vote for Roy Moore unless the mounting sex allegations… https://t.co/Pp6WMwf0AD,930444737072500737,0.0,0.0,neutral
Tue Nov 14 14:29:08 +0000 2017,CNN,2017-11-14 18:56:52.277540,568,"The unwritten rules:

• Be extra careful of male lawmakers who sleep in their offices -- they can be trouble

• Avo… https://t.co/GDRgWtlw56",930442480734081025,0.35000000000000003,-0.07500000000000001,negative
Tue Nov 14 14:14:43 +0000 2017,CNN,2017-11-14 18:56:52.277542,335,Thousands of migrants and refugees cross Libya each year in search of a better life in Europe. But thanks to a rece… https://t.co/j7memkM4Qh,930438850152984576,0.2333333333333333,0.2333333333333333,positive
Tue Nov 14 14:00:09 +0000 2017,CNN,2017-11-14 18:56:52.277544,63,What Don Jr.'s conversations with WikiLeaks prove | Analysis by @CillizzaCNN https://t.co/6fM8xnJYV5 https://t.co/1XSztYYRio,930435185698631680,0.0,0.0,neutral
Tue Nov 14 13:50:12 +0000 2017,CNN,2017-11-14 18:56:52.277546,173,"""He said, 'You're just a child. ... If you tell anyone about this, no one will ever believe you.'"" In a new accusat… https://t.co/3toNfHF25a",930432681829175296,0.45454545454545453,0.13636363636363635,positive
Tue Nov 14 13:50:10 +0000 2017,CNN,2017-11-14 18:56:52.277547,88,Donald Trump Jr. has released exchanges he had with the WikiLeaks Twitter account during the 2016 presidential camp… https://t.co/7kBhJjplAm,930432673239240704,0.0,0.0,neutral
Tue Nov 14 13:40:36 +0000 2017,CNN,2017-11-14 18:56:52.277549,504,"Hate crimes in the United States have increased to a point not seen in recent history, according to a new statistic… https://t.co/38E5tHbqeF",930430264903421953,0.5348484848484848,-0.22121212121212122,negative
Tue Nov 14 13:30:08 +0000 2017,CNN,2017-11-14 18:56:52.277551,94,"Jimmy Fallon returns to 'The Tonight Show' after the death of his mother: ""She was the best audience""… https://t.co/GKbWjssfSu",930427629987094528,0.3,1.0,positive
Tue Nov 14 13:23:46 +0000 2017,CNN,2017-11-14 18:56:52.277553,39,"RT @cnni: The abuse of migrants in Libya is a blot on the world's conscience, writes @IOMchief William Lacy Swing for @CNNopinion https://t…",930426029742620672,0.0,0.0,neutral
Tue Nov 14 13:20:05 +0000 2017,CNN,2017-11-14 18:56:52.277554,314,'Nothing about it felt right': More than 50 people describe sexual harassment on Capitol Hill… https://t.co/F72aA2KlVU,930425102377897984,0.623015873015873,0.42857142857142855,positive
Tue Nov 14 13:10:14 +0000 2017,CNN,2017-11-14 18:56:52.277558,755,Iran's Olympic weightlifting champion Kianoush Rostami has put his gold medal up for auction to raise money for the… https://t.co/VIK35DFE3Y,930422622545956864,0.0,0.0,neutral
Tue Nov 14 13:00:11 +0000 2017,CNN,2017-11-14 18:56:52.277560,355,"These rescuers saved six beached sperm whales off the coast of Aceh, Indonesia https://t.co/buRrxtG09d https://t.co/VqREDBLXLA",930420095544975360,0.0,0.0,neutral
Tue Nov 14 12:50:07 +0000 2017,CNN,2017-11-14 18:56:52.277561,46,Trump's embrace of Asia's red carpet overshadows results https://t.co/JbeZJHmUJe https://t.co/sWozC6v6ug,930417559710715904,0.0,0.0,neutral
Tue Nov 14 12:40:11 +0000 2017,CNN,2017-11-14 18:56:52.277563,63,First Amendment case may become proxy for abortion rights at Supreme Court https://t.co/A3g50wINWy https://t.co/fCV9OWJwkN,930415059280519169,0.3333333333333333,0.25,positive
Tue Nov 14 12:30:06 +0000 2017,CNN,2017-11-14 18:56:52.277565,224,"UK Prime Minister Theresa May has accused Russia of trying ""weaponize information"" to sow discord and undermine Wes… https://t.co/Rc6YzAgQ6m",930412523731513344,0.0,0.0,neutral
Tue Nov 14 12:20:13 +0000 2017,CNN,2017-11-14 18:56:52.277567,101,Capitol Hill lawmakers and aides portray a workplace where women are subjected to constant harassment -- both subtl… https://t.co/3uDYujd7j2,930410035712323587,0.3333333333333333,0.0,neutral
Tue Nov 14 12:10:03 +0000 2017,CNN,2017-11-14 18:56:52.277568,67,"5 things for Tuesday:

- Roy Moore
- Investigations
- Iran-Iraq earthquake
- Puerto Rico
- Blood pressure… https://t.co/yrTEgJsU97",930407478931677184,0.0,0.0,neutral
Tue Nov 14 12:00:06 +0000 2017,CNN,2017-11-14 18:56:52.277570,74,House lawmakers to hold hearing on sexual harassment in Congress in wake of sweeping allegations of sexual miscondu… https://t.co/R2pAhdeTgJ,930404974386958337,0.8333333333333334,0.5,positive
Tue Nov 14 11:50:08 +0000 2017,CNN,2017-11-14 18:56:52.277572,106,GOP tax plans could fuel the suburban revolt against Trump https://t.co/67rDeVI1Lf https://t.co/Y2ihKiENux,930402467405271040,0.0,0.0,neutral
Tue Nov 14 11:44:21 +0000 2017,CNN,2017-11-14 18:56:52.277573,35,RT @NewDay: Here is everything you need to know about the latest accusations against Roy Moore https://t.co/uw2kj6Vivb https://t.co/LzhWOAa…,930401010895515648,0.9,0.5,positive
Tue Nov 14 11:39:01 +0000 2017,CNN,2017-11-14 18:56:52.277575,182,Channing Tatum's new documentary tells the stories of three veterans and the brave dogs who served in the military… https://t.co/3umF3KoCky,930399667002707968,0.48484848484848486,0.31212121212121213,positive
Tue Nov 14 11:30:11 +0000 2017,CNN,2017-11-14 18:56:52.277577,66,When the coffee maker company Keurig revealed plans to pull its advertising dollars from Fox News host Sean Hannity… https://t.co/aRgaSvhIyD,930397445363765248,0.0,0.0,neutral
Tue Nov 14 11:29:06 +0000 2017,CNN,2017-11-14 18:56:52.277579,179,Criticism mounts as federal judge nominee fails to disclose wife's White House ties https://t.co/Uwfr2Tp6vF https://t.co/VaOypts2IF,930397170452369408,0.15,-0.25,negative
Tue Nov 14 11:20:12 +0000 2017,CNN,2017-11-14 18:56:52.277582,38,Senate expulsions and write-in campaigns: The not-so-far-fetched next steps in Alabama https://t.co/EbMZBlPWmW https://t.co/lFXHppkVey,930394932510109696,0.0,0.0,neutral
Tue Nov 14 11:19:29 +0000 2017,CNN,2017-11-14 18:56:52.277584,103,Jimmy Fallon returns to The Tonight Show after the death of his mother: 'She was the best audience'… https://t.co/GhMFMErE2j,930394750938701824,0.3,1.0,positive
Tue Nov 14 11:17:03 +0000 2017,CNN,2017-11-14 18:56:52.277586,85,Democratic senators seek more scrutiny of commerce secretary's finances https://t.co/KSumVxWmuL https://t.co/isK0pDMZwO,930394141154009088,0.5,0.5,positive
Tue Nov 14 11:11:50 +0000 2017,CNN,2017-11-14 18:56:52.277587,590,"RT @cnni: ""What am I bid?"" Undercover footage of a slave auction in Libya, where smugglers sold migrants for as little as $400 https://t.co…",930392825597972480,0.5,-0.1875,negative
Tue Nov 14 11:04:04 +0000 2017,CNN,2017-11-14 18:56:52.277589,95,What we know about Donald Trump Jr.'s exchanges with WikiLeaks https://t.co/4D1E6lJBI8 https://t.co/JFPfZCX31l,930390872792977409,0.0,0.0,neutral
Tue Nov 14 10:55:04 +0000 2017,CNN,2017-11-14 18:56:52.277591,120,US allies and some lawmakers from both parties want assurances that President Trump won't rashly launch a nuclear s… https://t.co/Dg47vA4i3M,930388607830982656,0.0,0.0,neutral
Tue Nov 14 10:48:02 +0000 2017,CNN,2017-11-14 18:56:52.277592,185,Rescuers save six beached sperm whales in Indonesia https://t.co/EjMGDruBbZ https://t.co/X7E0HxJgbM,930386837042008064,0.0,0.0,neutral
Tue Nov 14 10:39:03 +0000 2017,CNN,2017-11-14 18:56:52.277594,36,Six takeaways from President Trump's trip to Asia https://t.co/edgPeMIFpb https://t.co/HEWcNWqz05,930384578052837377,0.0,0.0,neutral
Tue Nov 14 10:30:23 +0000 2017,CNN,2017-11-14 18:56:52.277596,58,"On President Trump's Asia tour, it was the staging that mattered as much as the policy https://t.co/PbuUXb05dP",930382396851187713,0.2,0.2,positive
Tue Nov 14 10:15:35 +0000 2017,CNN,2017-11-14 18:56:52.277598,178,"Footage shows the Great Barrier Reef's annual coral spawning, in the wake of devastating bleaching events in 2016 a… https://t.co/PH7OZtXEMb",930378672737017856,0.875,-0.09999999999999998,negative
Tue Nov 14 10:02:17 +0000 2017,CNN,2017-11-14 18:56:52.277599,200,"A military widow chose Veterans Day to reveal the gender of her baby, whose father died in a military plane crash i… https://t.co/exuT9k93V7",930375325875429376,0.1,-0.1,negative
Tue Nov 14 09:45:10 +0000 2017,CNN,2017-11-14 18:56:52.277601,197,"After a mass shooting, the First Baptist Church of Sutherland Springs, Texas, has been turned into a memorial, comp… https://t.co/wuHpKpLCMQ",930371016546816000,0.3333333333333333,0.25,positive
Tue Nov 14 09:30:16 +0000 2017,CNN,2017-11-14 18:56:52.277605,143,Human rights groups are calling on US Secretary of State Rex Tillerson to address the crisis in Yemen… https://t.co/vLafqXEUXD,930367268181114880,0.1,0.0,neutral
Tue Nov 14 09:15:05 +0000 2017,CNN,2017-11-14 18:56:52.277608,144,"UK Prime Minister Theresa May has strong words for Russia: ""We know what you are doing. And you will not succeed""… https://t.co/9QbUMQp6Cg",930363446532636673,0.7333333333333333,0.4333333333333333,positive
Tue Nov 14 09:01:02 +0000 2017,CNN,2017-11-14 18:56:52.277610,84,"Almost half of all Americans -- 46% -- are now considered to have high blood pressure, according to newly released… https://t.co/jVAGw3mwLz",930359910478630913,0.38707070707070707,0.04323232323232323,positive
